id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V886995852,1776276398021.684,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276399021.694,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276399021.694,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,278478,921,true,0,0,266,266,162976,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.348,0,1.200366
OT01V886995852,1776276399021.694,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276399021.694,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276399021.694,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,278478,921,true,0,0,266,266,162976,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.348,0,1.200366
OT01V886995852,1776276399021.694,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276400021.672,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276400021.672,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,341740,1015,true,0,0,296,296,171352,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.505,0,1.2004679999999999
OT01V886995852,1776276400021.672,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276400021.672,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276400021.672,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,341740,1015,true,0,0,296,296,171352,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.505,0,1.2004679999999999
OT01V886995852,1776276400021.672,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276401021.689,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276401021.689,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,419145,1099,true,0,0,326,326,173368,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.667,0,1.200524
OT01V886995852,1776276401021.689,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276401021.689,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276401021.689,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,419145,1099,true,0,0,326,326,173368,1,1,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r0,1964119814,1.667,0,1.200524
OT01V886995852,1776276401021.689,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,0,0,true,1,0,0,0,0,0,0,SV286,0,0,0,0,[object Object],bandwidth,0,0,0,r1,378989009,0,0,0
OT01V2287984055,1776276402021.573,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276402021.573,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,497909,1183,true,0,0,356,356,175388,2,2,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r0,1964119814,1.836,0,1.3660379999999999
OT01V886995852,1776276402021.573,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,6436,6,true,1,0,6,6,168,1,1,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r1,378989009,0.107,0,0.385613
OT01V2287984055,1776276402021.573,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276402021.573,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,497909,1183,true,0,0,356,356,175388,2,2,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r0,1964119814,1.836,0,1.3660379999999999
OT01V886995852,1776276402021.573,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,6436,6,true,1,0,6,6,168,1,1,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r1,378989009,0.107,0,0.385613
OT01V2287984055,1776276403021.639,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r2,1639714385,0,0,0
OT01V3161106983,1776276403021.639,outbound-rtp,COT01_98_profile-id=0,video,video,3161106983,T01,524002,1215,true,0,0,377,377,176156,2,2,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r0,1964119814,1.962,0,1.868588
OT01V886995852,1776276403021.639,outbound-rtp,COT01_98_profile-id=0,video,video,886995852,T01,78713,78,true,1,0,20,20,2100,3,1,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r1,378989009,0.329,0,15.428569
OT01V2287984055,1776276403021.639,outbound-rtp,COT01_98_profile-id=0,video,video,2287984055,T01,0,1,true,2,0,0,0,283,0,0,SV286,0,0,0,0,[object Object],bandwidth,1,0,0,r2,1639714385,0,0,0
