,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,20441,1058521,295,video_av1,svc,2,1,28000.0,0.0,0.0,0.0,5.649249,1.016386,0.175453,10.422,15.169,32.903685,0,5.822481,121,357,227,5
281,20108,1048316,296,video_av1,svc,2,2,28000.0,0.0,0.0,0.0,8.217374,1.143312,0.180357,13.615,18.186,43.519002,0,8.396946999999999,121,450,219,6
281,17174,457377,297,video_av1,simulcast,0,0,28000.0,23600.0,84.28571428571429,0.0,1.999791,0.795936,0.358997,0.0,27.85,4.364052,0,2.382808,187,0,187,0
Unnamed 65,24345,580515,298,video_av1,simulcast,0,1,28000.0,19000.0,67.85714285714286,0.0,5.25275,0.788592,0.6067089999999999,0.0,27.794,2.373252000000001,0,5.909117999999999,367,0,367,0
Unnamed 66,27434,850336,299,video_av1,simulcast,0,2,28000.0,11800.0,42.142857142857146,0.0,14.630833,1.0141639999999998,1.120275,0.0,27.771,1.4099509999999924,0,15.843836,713,0,714,0
Unnamed 67,17951,647001,3,video_av1,svc,1,0,28000.0,12882.14208984375,46.00765032087054,9717.85791015625,1.939308,0.5625209999999999,0.146023,10.221,14.804,32.029462,0,2.103375,130,88,164,5
281,22001,945059,30,video_vp9,simulcast,1,0,28000.0,4651.0,16.610714285714288,9349.0,5.41273,1.111216,0.924928,9.349,26.568,30.291628,0,6.382918999999999,405,35,406,3
281,23240,1093400,300,video_av1,simulcast,1,0,28000.0,11604.0,41.44285714285714,1396.0,10.344298,2.634124,0.932179,1.396,27.959,3.517658999999998,0,11.335471,447,0,447,3
Unnamed 68,26410,1298983,301,video_av1,simulcast,1,1,28000.0,5610.4541015625,20.03733607700893,789.5458984375,19.084508,3.465779,1.130902,0.99,27.791,2.1194090000000045,0,20.284815,528,0,529,4
Unnamed 69,27909,1739909,302,video_av1,simulcast,1,2,28000.0,3800.0,13.571428571428571,0.0,25.609273,3.933754,1.47449,0.235,27.806,1.5077639999999883,0,27.170541,703,0,706,1
