id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesPerSecond,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,remoteId,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,targetBitrate,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2563293781,1776275049021.737,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,1324060,2126,true,0,0,270,480,694,26,694,210583,4,6,SV248,0,0,0,0,138866,[object Object],none,2,RIV2563293781,0,0,r0,2196042538,L1T3,214166,3.892,0,4.1007229999999995
OT01V2988832845,1776275049021.737,outbound-rtp,COT01_98_profile-id=0,video,video,2988832845,T01,78014,70,true,2,0,1080,1920,9,16,9,2219,7,1,SV248,0,0,0,0,1872,[object Object],none,2,RIV2988832845,0,0,r2,1168315824,L1T3,835001,0.222,0,17.420697
OT01V3270624845,1776275049021.737,outbound-rtp,COT01_98_profile-id=0,video,video,3270624845,T01,1542736,1490,true,1,0,540,960,269,28,269,37662,12,5,SV248,0,0,0,3,54868,[object Object],none,2,RIV3270624845,0,0,r1,3338422603,L1T3,732499,4.277,0,27.302089
OT01V2563293781,1776275050021.491,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,1345187,2156,true,0,0,270,480,720,26,720,211303,4,6,SV248,0,0,0,0,144191,[object Object],none,2,RIV2563293781,0,0,r0,2196042538,L1T3,215161,4.297,0,4.4439
OT01V2988832845,1776275050021.491,outbound-rtp,COT01_98_profile-id=0,video,video,2988832845,T01,295564,264,true,2,0,1080,1920,19,11,19,7135,8,1,SV248,0,0,0,0,3952,[object Object],none,2,RIV2988832845,0,0,r2,1168315824,L1T3,769000,0.44,0,78.21435199999999
OT01V3270624845,1776275050021.491,outbound-rtp,COT01_98_profile-id=0,video,video,3270624845,T01,1620984,1569,true,1,0,540,960,293,25,293,39558,12,5,SV248,0,0,0,3,59807,[object Object],none,2,RIV3270624845,0,0,r1,3338422603,L1T3,713268,4.708,0,28.287675
OT01V2563293781,1776275050021.491,outbound-rtp,COT01_98_profile-id=0,video,video,2563293781,T01,1345187,2156,true,0,0,270,480,720,26,720,211303,4,6,SV248,0,0,0,0,144191,[object Object],none,2,RIV2563293781,0,0,r0,2196042538,L1T3,215161,4.297,0,4.4439
OT01V2988832845,1776275050021.491,outbound-rtp,COT01_98_profile-id=0,video,video,2988832845,T01,295564,264,true,2,0,1080,1920,19,11,19,7135,8,1,SV248,0,0,0,0,3952,[object Object],none,2,RIV2988832845,0,0,r2,1168315824,L1T3,769000,0.44,0,78.21435199999999
OT01V3270624845,1776275050021.491,outbound-rtp,COT01_98_profile-id=0,video,video,3270624845,T01,1620984,1569,true,1,0,540,960,293,25,293,39558,12,5,SV248,0,0,0,3,59807,[object Object],none,2,RIV3270624845,0,0,r1,3338422603,L1T3,713268,4.708,0,28.287675



id,timestamp,type,bytesReceived,bytesSent,dtlsCipher,dtlsRole,dtlsState,iceLocalUsernameFragment,iceRole,iceState,localCertificateId,packetsReceived,packetsSent,remoteCertificateId,selectedCandidatePairChanges,selectedCandidatePairId,srtpCipher,tlsVersion
T01,1776275023021.747,transport,1261,35220,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,11,50,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275023021.747,transport,1261,35220,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,11,50,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275024021.597,transport,1889,74656,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,22,145,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275024021.597,transport,1889,74656,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,22,145,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275025021.602,transport,2417,117723,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,32,238,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275025021.602,transport,2417,117723,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,32,238,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275026021.659,transport,3037,163885,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,43,327,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275026021.659,transport,3037,163885,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,43,327,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275027021.692,transport,3669,215264,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,54,430,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275027021.692,transport,3669,215264,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,54,430,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275028021.693,transport,4297,268272,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,65,532,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275028021.693,transport,4297,268272,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,65,532,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275029021.687,transport,4953,326934,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,76,662,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275029021.687,transport,4953,326934,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,76,662,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275030021.654,transport,5609,389078,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,87,787,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275030021.654,transport,5609,389078,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,87,787,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
T01,1776275031021.48,transport,6289,456758,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,client,connected,vrgc,controlling,connected,CFF6:75:FC:E0:8E:86:A9:1C:2E:FE:06:70:D0:E9:A9:29:47:53:5E:45:1E:12:2A:E2:B1:E1:89:F1:3D:B8:11:14,98,943,CFDB:7C:72:E8:D9:F2:A9:6B:5A:CB:7B:4F:A9:D0:E9:66:ED:C5:54:BA:E4:02:80:D2:22:86:E7:7E:B3:B5:49:01,1,CP12+GXj6l_OF3YZndj,AEAD_AES_256_GCM,FEFD
