,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,27985,904292,317,video_vp9,simulcast,0,2,28000.0,19400.0,69.28571428571428,0.0,15.335604,0.749159,1.173996,0.0,27.968,1.1971499999999966,0,16.589098,774,2,776,0
281,22931,983771,318,video_vp9,simulcast,1,0,28000.0,4587.0,16.382142857142856,9413.0,6.41332,1.404418,0.7904209999999999,9.413,26.927,30.720531,0,7.245362,407,40,407,3
281,26540,1965486,319,video_vp9,simulcast,1,1,28000.0,18082.215087890625,64.57933959960937,5717.784912109375,1.787283,0.052065,0.514728,6.119,26.689,20.42945099999999,0,2.319562,299,90,299,2
281,27158,1586277,32,video_vp9,simulcast,1,2,28000.0,4800.0,17.142857142857142,0.0,16.971277999999998,2.225481,1.741645,0.509,28.033,1.995508999999996,0,18.77398,624,19,627,2
281,27349,1598150,320,video_vp9,simulcast,1,2,28000.0,2600.0,9.285714285714286,0.0,12.234632,2.242029,1.455723,3.506,28.019,11.521508999999984,0,13.744333,550,90,551,2
281,27214,1516754,321,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,16.496496999999998,1.91545,1.312072,6.251,28.022,20.68134600000008,0,17.862918999999998,550,68,554,2
281,27420,1599454,322,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,7.55925,1.862117,1.209078,6.286,28.001,21.13967100000005,0,8.819524999999999,520,119,524,2
281,27323,1582366,323,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,12.199857,2.334339,1.527974,2.565,27.981,3.247425000000004,0,13.785958,607,44,612,6
281,14718,297643,324,video_av1,svc,0,0,28000.0,28000.0,100.0,0.0,6.373973,0.6746449999999999,0.174916,0.0,17.961,2.5358089999999978,0,6.567315,134,0,134,0
281,18399,379671,325,video_av1,svc,0,1,28000.0,24400.0,87.14285714285714,0.0,24.147064,1.152197,0.290745,0.0,17.769,1.385196999999999,0,24.440031,253,1,255,0
