

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,qpSum,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V374917333,1776337544280.655,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,32,0,0,31028,0,270,480,5,5,1,,5,0,1036,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544181.5571,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544280.655,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,32,0,0,31028,0,270,480,5,5,1,,5,0,1036,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544181.5571,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544480.704,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.008,0,36,0,0,33995,0,270,480,5,5,1,,5,0,1164,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544439.9841,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544480.704,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.008,0,36,0,0,33995,0,270,480,5,5,1,,5,0,1164,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544439.9841,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544680.623,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.008,0,37,0,0,35007,0,270,480,5,5,1,,5,0,1196,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544562.836,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544680.623,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.008,0,37,0,0,35007,0,270,480,5,5,1,,5,0,1196,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544562.836,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544880.733,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,41,0,0,39302,0,270,480,5,5,1,,5,0,1324,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544832.312,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337544880.733,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,41,0,0,39302,0,270,480,5,5,1,,5,0,1324,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544832.312,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545080.696,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,42,0,0,39958,0,270,480,5,5,1,,5,0,1356,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544969.752,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545080.696,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,42,0,0,39958,0,270,480,5,5,1,,5,0,1356,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337544969.752,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545280.715,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,47,0,0,43934,0,270,480,5,5,1,,5,0,1516,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337545251.738,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545280.715,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,47,0,0,43934,0,270,480,5,5,1,,5,0,1516,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337545251.738,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545480.738,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.008,0,49,0,0,45406,0,270,480,5,5,1,,5,0,1580,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337545373.7031,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545480.738,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.008,0,49,0,0,45406,0,270,480,5,5,1,,5,0,1580,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337545373.7031,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
IT01V374917333,1776337545680.826,inbound-rtp,CIT01_105_profile-id=0,video,video,374917333,T01,0.007,0,53,0,0,48890,0,270,480,5,5,1,,5,0,1708,0.057003,5,0.044178999999999996,0.044178999999999996,3,1776337545645.57,0,0,0,0,1016,0.044328,0.004547,0,0.901,0,0.061752999999999995,0.440843,9a459347-b952-4ccb-aa9a-8aaaa798d7fe
