

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V694175914,1776595267941.806,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.008,0,264,0,0,258583,0,540,960,28,46,0,46,0,8464,0.354324,46,0.798499,0.798499,3,1776595267906.958,0,0,0,0,694175915,0.063306,0.559851,0,3.459,0,0.924364,0.3569129999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595267941.806,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.008,0,264,0,0,258583,0,540,960,28,46,0,46,0,8464,0.354324,46,0.798499,0.798499,3,1776595267906.958,0,0,0,0,694175915,0.063306,0.559851,0,3.459,0,0.924364,0.3569129999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268141.881,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.008,0,290,0,0,286575,0,540,960,31,49,0,49,0,9296,0.377252,49,0.857275,0.857275,3,1776595268115.155,0,0,0,0,694175915,0.063997,0.604032,0,3.668,0,0.992212,0.37161199999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268141.881,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.008,0,290,0,0,286575,0,540,960,31,49,0,49,0,9296,0.377252,49,0.857275,0.857275,3,1776595268115.155,0,0,0,0,694175915,0.063997,0.604032,0,3.668,0,0.992212,0.37161199999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268342.656,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,302,0,0,296964,0,540,960,32,52,0,52,0,9680,0.40701699999999996,52,0.917586,0.917586,3,1776595268298.745,0,0,0,0,694175915,0.064038,0.632784,0,3.847,0,1.0512059999999999,0.3826529999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268342.656,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,302,0,0,296964,0,540,960,32,52,0,52,0,9680,0.40701699999999996,52,0.917586,0.917586,3,1776595268298.745,0,0,0,0,694175915,0.064038,0.632784,0,3.847,0,1.0512059999999999,0.3826529999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268541.892,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,325,0,0,320522,0,540,960,34,55,0,55,0,10416,0.444175,55,0.9804809999999999,0.9804809999999999,3,1776595268510.346,0,0,0,0,694175915,0.064151,0.674329,0,4.061,0,1.1304999999999998,0.39833899999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268541.892,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,325,0,0,320522,0,540,960,34,55,0,55,0,10416,0.444175,55,0.9804809999999999,0.9804809999999999,3,1776595268510.346,0,0,0,0,694175915,0.064151,0.674329,0,4.061,0,1.1304999999999998,0.39833899999999994,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268741.844,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,338,0,0,333166,0,540,960,35,58,0,58,0,10832,0.479635,58,1.044251,1.044251,3,1776595268709.343,0,0,0,0,694175915,0.064329,0.708957,0,4.257,0,1.2011969999999998,0.4115789999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
IT01V694175914,1776595268741.844,inbound-rtp,CIT01_105_profile-id=0,video,video,694175914,T01,0.009,0,338,0,0,333166,0,540,960,35,58,0,58,0,10832,0.479635,58,1.044251,1.044251,3,1776595268709.343,0,0,0,0,694175915,0.064329,0.708957,0,4.257,0,1.2011969999999998,0.4115789999999999,83bb8fc0-00fa-49e9-a31c-dce445f4ad15
