id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,bytesSent,packetsSent,active,encodingIndex,firCount,frameHeight,frameWidth,framesEncoded,framesSent,headerBytesSent,hugeFramesSent,keyFramesEncoded,mediaSourceId,mid,nackCount,packetsSentWithEct1,pliCount,qpSum,qualityLimitationDurations,qualityLimitationReason,qualityLimitationResolutionChanges,retransmittedBytesSent,retransmittedPacketsSent,rid,rtxSsrc,scalabilityMode,totalEncodeTime,totalEncodedBytesTarget,totalPacketSendDelay
OT01V2196301879,1776600283296.448,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,60119,133,true,0,0,270,480,57,57,16329,1,2,SV173,0,0,0,1,11447,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.961,0,3.5321089999999997
OT01V4021281234,1776600283296.448,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283296.448,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283296.448,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,60119,133,true,0,0,270,480,57,57,16329,1,2,SV173,0,0,0,1,11447,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,0.961,0,3.5321089999999997
OT01V4021281234,1776600283296.448,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283496.388,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283496.388,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,66919,151,true,0,0,270,480,63,63,19311,1,2,SV173,0,0,0,1,12607,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.064,0,3.532117
OT01V4021281234,1776600283496.388,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283496.388,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283496.388,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,66919,151,true,0,0,270,480,63,63,19311,1,2,SV173,0,0,0,1,12607,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.064,0,3.532117
OT01V4021281234,1776600283496.388,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283696.381,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283696.381,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,72525,163,true,0,0,270,480,69,69,20619,1,2,SV173,0,0,0,1,13762,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.171,0,3.532129
OT01V4021281234,1776600283696.381,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283696.381,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283696.381,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,72525,163,true,0,0,270,480,69,69,20619,1,2,SV173,0,0,0,1,13762,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.171,0,3.532129
OT01V4021281234,1776600283696.381,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283896.4,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283896.4,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,77568,182,true,0,0,270,480,75,75,24135,1,2,SV173,0,0,0,1,14929,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.273,0,3.5321339999999997
OT01V4021281234,1776600283896.4,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600283896.4,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600283896.4,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,77568,182,true,0,0,270,480,75,75,24135,1,2,SV173,0,0,0,1,14929,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.273,0,3.5321339999999997
OT01V4021281234,1776600283896.4,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600284096.386,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600284096.386,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,85402,196,true,0,0,270,480,81,81,25491,1,2,SV173,0,0,0,1,16064,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.379,0,3.532162
OT01V4021281234,1776600284096.386,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600284096.386,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
OT01V2196301879,1776600284096.386,outbound-rtp,COT01_98_profile-id=0,video,video,2196301879,T01,85402,196,true,0,0,270,480,81,81,25491,1,2,SV173,0,0,0,1,16064,[object Object],bandwidth,0,0,0,r0,3347861686,L1T3,1.379,0,3.532162
OT01V4021281234,1776600284096.386,outbound-rtp,COT01_98_profile-id=0,video,video,4021281234,T01,0,1,true,2,0,,,0,0,283,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r2,1802540454,,0,0,0
OT01V196110104,1776600284296.301,outbound-rtp,COT01_98_profile-id=0,video,video,196110104,T01,0,0,true,1,0,,,0,0,0,0,0,SV173,0,0,0,0,,[object Object],bandwidth,0,0,0,r1,3482260029,,0,0,0
