

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,rtxSsrc,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V943667946,1776271229614.998,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,164,0,0,158308,0,540,960,18,30,0,15,31,0,5264,0.258023,31,0.685234,0.685234,3,1776271229599.138,0,0,0,0,943667947,0.057082999999999995,0.249433,0,2.228,0,0.513046,0.20240599999999997,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229614.998,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,164,0,0,158308,0,540,960,18,30,0,15,31,0,5264,0.258023,31,0.685234,0.685234,3,1776271229599.138,0,0,0,0,943667947,0.057082999999999995,0.249433,0,2.228,0,0.513046,0.20240599999999997,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229814.927,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,183,0,0,177593,0,540,960,20,34,0,16,34,0,5872,0.287437,34,0.7480979999999999,0.7480979999999999,3,1776271229800.5042,0,0,0,0,943667947,0.057141,0.282161,0,2.497,0,0.586475,0.22069899999999995,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271229814.927,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,183,0,0,177593,0,540,960,20,34,0,16,34,0,5872,0.287437,34,0.7480979999999999,0.7480979999999999,3,1776271229800.5042,0,0,0,0,943667947,0.057141,0.282161,0,2.497,0,0.586475,0.22069899999999995,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230014.915,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,198,0,0,190814,0,540,960,22,37,0,16,37,0,6352,0.308374,37,0.806809,0.806809,3,1776271229985.0352,0,0,0,0,943667947,0.0572,0.305218,0,2.699,0,0.6308039999999999,0.23452899999999996,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230014.915,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,198,0,0,190814,0,540,960,22,37,0,16,37,0,6352,0.308374,37,0.806809,0.806809,3,1776271229985.0352,0,0,0,0,943667947,0.0572,0.305218,0,2.699,0,0.6308039999999999,0.23452899999999996,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230214.962,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,227,0,0,219836,0,540,960,24,40,0,16,40,0,7280,0.350477,40,0.863158,0.863158,3,1776271230189.76,0,0,0,0,943667947,0.057326999999999996,0.340335,0,2.898,0,0.708503,0.24815399999999993,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230214.962,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.009,0,227,0,0,219836,0,540,960,24,40,0,16,40,0,7280,0.350477,40,0.863158,0.863158,3,1776271230189.76,0,0,0,0,943667947,0.057326999999999996,0.340335,0,2.898,0,0.708503,0.24815399999999993,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230414.881,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,242,0,0,234407,0,540,960,25,43,0,15,43,0,7760,0.37790199999999996,43,0.92104,0.92104,3,1776271230391.6611,0,0,0,0,943667947,0.057359,0.365677,0,3.105,0,0.7615679999999999,0.26275099999999996,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230414.881,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.008,0,242,0,0,234407,0,540,960,25,43,0,15,43,0,7760,0.37790199999999996,43,0.92104,0.92104,3,1776271230391.6611,0,0,0,0,943667947,0.057359,0.365677,0,3.105,0,0.7615679999999999,0.26275099999999996,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230615.002,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.011,0,264,0,0,257283,0,540,960,26,45,0,15,45,0,8464,0.402587,45,0.9597009999999999,0.9597009999999999,3,1776271230566.418,0,0,0,0,943667947,0.057373999999999994,0.37025199999999997,0,3.27,0,0.790926,0.27636399999999994,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
IT01V943667946,1776271230615.002,inbound-rtp,CIT01_105_profile-id=0,video,video,943667946,T01,0.011,0,264,0,0,257283,0,540,960,26,45,0,15,45,0,8464,0.402587,45,0.9597009999999999,0.9597009999999999,3,1776271230566.418,0,0,0,0,943667947,0.057373999999999994,0.37025199999999997,0,3.27,0,0.790926,0.27636399999999994,6bef7464-468b-4cc6-adf4-61e2ebe1eba2
