

id,timestamp,type,codecId,kind,mediaType,ssrc,transportId,jitter,packetsLost,packetsReceived,packetsReceivedWithCe,packetsReceivedWithEct1,bytesReceived,firCount,frameHeight,frameWidth,framesAssembledFromMultiplePackets,framesDecoded,framesDropped,framesPerSecond,framesReceived,freezeCount,headerBytesReceived,jitterBufferDelay,jitterBufferEmittedCount,jitterBufferMinimumDelay,jitterBufferTargetDelay,keyFramesDecoded,lastPacketReceivedTimestamp,mid,nackCount,pauseCount,pliCount,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalPausesDuration,totalProcessingDelay,totalSquaredInterFrameDelay,trackIdentifier
IT01V414628560,1776269090513.655,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,111,0,0,77284,0,270,480,24,83,0,30,83,0,3556,0.155087,83,1.4393829999999999,1.4393829999999999,1,1776269090504.238,0,0,0,0,0.099898,0.148037,0,3.291,0,0.32175899999999996,0.18243099999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090513.655,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,111,0,0,77284,0,270,480,24,83,0,30,83,0,3556,0.155087,83,1.4393829999999999,1.4393829999999999,1,1776269090504.238,0,0,0,0,0.099898,0.148037,0,3.291,0,0.32175899999999996,0.18243099999999995,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090713.647,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,119,0,0,83696,0,270,480,26,89,0,30,89,0,3812,0.18398299999999998,89,1.541118,1.541118,1,1776269090697.966,0,0,0,0,0.09995799999999999,0.159492,0,3.488,0,0.36273299999999997,0.1890919999999999,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090713.647,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,119,0,0,83696,0,270,480,26,89,0,30,89,0,3812,0.18398299999999998,89,1.541118,1.541118,1,1776269090697.966,0,0,0,0,0.09995799999999999,0.159492,0,3.488,0,0.36273299999999997,0.1890919999999999,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090913.736,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,127,0,0,89104,0,270,480,28,95,0,30,95,0,4068,0.201893,95,1.6431,1.6431,1,1776269090905.143,0,0,0,0,0.103408,0.170866,0,3.692,0,0.392603,0.1960779999999999,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269090913.736,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,127,0,0,89104,0,270,480,28,95,0,30,95,0,4068,0.201893,95,1.6431,1.6431,1,1776269090905.143,0,0,0,0,0.103408,0.170866,0,3.692,0,0.392603,0.1960779999999999,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091113.646,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.002,0,137,0,0,97313,0,270,480,31,101,0,30,101,0,4388,0.21340399999999998,101,1.7455509999999999,1.7455509999999999,1,1776269091108.26,0,0,0,0,0.103535,0.181993,0,3.895,0,0.415705,0.20299299999999987,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091113.646,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.002,0,137,0,0,97313,0,270,480,31,101,0,30,101,0,4388,0.21340399999999998,101,1.7455509999999999,1.7455509999999999,1,1776269091108.26,0,0,0,0,0.103535,0.181993,0,3.895,0,0.415705,0.20299299999999987,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091313.667,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,143,0,0,101757,0,270,480,31,107,0,30,107,0,4580,0.223404,107,1.848318,1.848318,1,1776269091292.565,0,0,0,0,0.103535,0.193304,0,4.082,0,0.437507,0.20890199999999987,fb4cb525-3d57-41e1-bb23-5738afe02bb8
IT01V414628560,1776269091313.667,inbound-rtp,CIT01_105_profile-id=0,video,video,414628560,T01,0.003,0,143,0,0,101757,0,270,480,31,107,0,30,107,0,4580,0.223404,107,1.848318,1.848318,1,1776269091292.565,0,0,0,0,0.103535,0.193304,0,4.082,0,0.437507,0.20890199999999987,fb4cb525-3d57-41e1-bb23-5738afe02bb8
